pesan,kategori,label,step_casefolding,step_tokenisasi,step_stopword,step_stemming,teks_bersih
"Bayar telat 1 hari, didatangi petugas yg gagah berani kerumah untuk memutuskan aliran listrik, padahal telatnya hanya hitungan jam. Lha hak penggunaan listrik pelanggan ""dihilangkan"" berjam jam gimana konsekuensinya dr PLN yang terhormat?????",Transaksi Aman,Tidak Berisiko,"bayar telat 1 hari, didatangi petugas yg gagah berani kerumah untuk memutuskan aliran listrik, padahal telatnya hanya hitungan jam. lha hak penggunaan listrik pelanggan ""dihilangkan"" berjam jam gimana konsekuensinya dr pln yang terhormat?????","['bayar', 'telat', 'hari', 'didatangi', 'petugas', 'yg', 'gagah', 'berani', 'kerumah', 'untuk', 'memutuskan', 'aliran', 'listrik', 'padahal', 'telatnya', 'hanya', 'hitungan', 'jam', 'lha', 'hak', 'penggunaan', 'listrik', 'pelanggan', 'dihilangkan', 'berjam', 'jam', 'gimana', 'konsekuensinya', 'dr', 'pln', 'yang', 'terhormat']","['bayar', 'telat', 'hari', 'didatangi', 'petugas', 'gagah', 'berani', 'kerumah', 'memutuskan', 'aliran', 'listrik', 'padahal', 'telatnya', 'hitungan', 'jam', 'lha', 'hak', 'penggunaan', 'listrik', 'pelanggan', 'dihilangkan', 'berjam', 'jam', 'gimana', 'konsekuensinya', 'dr', 'pln', 'terhormat']","['bayar', 'telat', 'hari', 'datang', 'tugas', 'gagah', 'berani', 'rumah', 'putus', 'alir', 'listrik', 'padahal', 'telat', 'hitung', 'jam', 'lha', 'hak', 'guna', 'listrik', 'langgan', 'hilang', 'jam', 'jam', 'gimana', 'konsekuensi', 'dr', 'pln', 'hormat']",bayar telat hari datang tugas gagah berani rumah putus alir listrik padahal telat hitung jam lha hak guna listrik langgan hilang jam jam gimana konsekuensi dr pln hormat
Mundur saja Pak,Percakapan Biasa,Tidak Berisiko,mundur saja pak,"['mundur', 'saja', 'pak']","['mundur', 'pak']","['mundur', 'pak']",mundur pak
kompensasinya woi....,Percakapan Biasa,Tidak Berisiko,kompensasinya woi....,"['kompensasinya', 'woi']","['kompensasinya', 'woi']","['kompensasi', 'woi']",kompensasi woi
Palembang jga mati lampu semalam anjir,Kata Kasar & Ancaman,Berisiko,palembang jga mati lampu semalam anjir,"['palembang', 'jga', 'mati', 'lampu', 'semalam', 'anjir']","['palembang', 'jga', 'mati', 'lampu', 'semalam', 'anjir']","['palembang', 'jga', 'mati', 'lampu', 'malam', 'anjir']",palembang jga mati lampu malam anjir
kok bisa ya padahal pembangkit listrik nya beda antara daerah,Informasi Umum,Tidak Berisiko,kok bisa ya padahal pembangkit listrik nya beda antara daerah,"['kok', 'bisa', 'ya', 'padahal', 'pembangkit', 'listrik', 'nya', 'beda', 'antara', 'daerah']","['kok', 'padahal', 'pembangkit', 'listrik', 'beda', 'daerah']","['kok', 'padahal', 'bangkit', 'listrik', 'beda', 'daerah']",kok padahal bangkit listrik beda daerah
Ada berapa yg lewat nihhhhh.,Percakapan Biasa,Tidak Berisiko,ada berapa yg lewat nihhhhh.,"['ada', 'berapa', 'yg', 'lewat', 'nihhhhh']","['berapa', 'lewat', 'nihhhhh']","['berapa', 'lewat', 'nihhhhh']",berapa lewat nihhhhh
"bos..bos...minta maaf trus.
kalau masyarakat nunggak 1 bulan bisa gak minta maaf?
langsung keluar surat putus meteran
adil lah bos.",Informasi Umum,Tidak Berisiko,"bos..bos...minta maaf trus.
kalau masyarakat nunggak 1 bulan bisa gak minta maaf?
langsung keluar surat putus meteran
adil lah bos.","['bos', 'bos', 'minta', 'maaf', 'trus', 'kalau', 'masyarakat', 'nunggak', 'bulan', 'bisa', 'gak', 'minta', 'maaf', 'langsung', 'keluar', 'surat', 'putus', 'meteran', 'adil', 'lah', 'bos']","['bos', 'bos', 'minta', 'maaf', 'trus', 'kalau', 'masyarakat', 'nunggak', 'bulan', 'minta', 'maaf', 'langsung', 'keluar', 'surat', 'putus', 'meteran', 'adil', 'bos']","['bos', 'bos', 'minta', 'maaf', 'trus', 'kalau', 'masyarakat', 'nunggak', 'bulan', 'minta', 'maaf', 'langsung', 'keluar', 'surat', 'putus', 'meter', 'adil', 'bos']",bos bos minta maaf trus kalau masyarakat nunggak bulan minta maaf langsung keluar surat putus meter adil bos
Pak 12 jam tempatkuu gak 2 jam😭😭,Percakapan Biasa,Tidak Berisiko,pak 12 jam tempatkuu gak 2 jam😭😭,"['pak', 'jam', 'tempatkuu', 'gak', 'jam']","['pak', 'jam', 'tempatkuu', 'jam']","['pak', 'jam', 'tempatkuu', 'jam']",pak jam tempatkuu jam
udh siap cuma mnta maaf doang.tapi engga ada ganti rugi nya,Percakapan Biasa,Tidak Berisiko,udh siap cuma mnta maaf doang.tapi engga ada ganti rugi nya,"['udh', 'siap', 'cuma', 'mnta', 'maaf', 'doang', 'tapi', 'engga', 'ada', 'ganti', 'rugi', 'nya']","['udh', 'siap', 'cuma', 'mnta', 'maaf', 'doang', 'engga', 'ganti', 'rugi']","['udh', 'siap', 'cuma', 'mnta', 'maaf', 'doang', 'engga', 'ganti', 'rugi']",udh siap cuma mnta maaf doang engga ganti rugi
"di medan deli khusus nya di lingkungan 1 km 6 lorong 12 masih mati lampu, sudah mau 17 jam mati lampu",Percakapan Biasa,Tidak Berisiko,"di medan deli khusus nya di lingkungan 1 km 6 lorong 12 masih mati lampu, sudah mau 17 jam mati lampu","['di', 'medan', 'deli', 'khusus', 'nya', 'di', 'lingkungan', 'km', 'lorong', 'masih', 'mati', 'lampu', 'sudah', 'mau', 'jam', 'mati', 'lampu']","['medan', 'deli', 'khusus', 'lingkungan', 'km', 'lorong', 'mati', 'lampu', 'mau', 'jam', 'mati', 'lampu']","['medan', 'deli', 'khusus', 'lingkung', 'km', 'lorong', 'mati', 'lampu', 'mau', 'jam', 'mati', 'lampu']",medan deli khusus lingkung km lorong mati lampu mau jam mati lampu
Intinya berapa hari pak..,Percakapan Biasa,Tidak Berisiko,intinya berapa hari pak..,"['intinya', 'berapa', 'hari', 'pak']","['intinya', 'berapa', 'hari', 'pak']","['inti', 'berapa', 'hari', 'pak']",inti berapa hari pak
masak gak ada kompensasi ke masyarakat yang terdampak?,Percakapan Biasa,Tidak Berisiko,masak gak ada kompensasi ke masyarakat yang terdampak?,"['masak', 'gak', 'ada', 'kompensasi', 'ke', 'masyarakat', 'yang', 'terdampak']","['masak', 'kompensasi', 'masyarakat', 'terdampak']","['masak', 'kompensasi', 'masyarakat', 'dampak']",masak kompensasi masyarakat dampak
"pengalihan issue, di balik hebohnyo turun harga sawit.",Percakapan Biasa,Tidak Berisiko,"pengalihan issue, di balik hebohnyo turun harga sawit.","['pengalihan', 'issue', 'di', 'balik', 'hebohnyo', 'turun', 'harga', 'sawit']","['pengalihan', 'issue', 'balik', 'hebohnyo', 'turun', 'harga', 'sawit']","['alih', 'issue', 'balik', 'hebohnyo', 'turun', 'harga', 'sawit']",alih issue balik hebohnyo turun harga sawit
"segeralah Pak di perbaiki.
jangan ada hal hal yg lain yg akan jadi perbincangan publik.
makasih",Percakapan Biasa,Tidak Berisiko,"segeralah pak di perbaiki.
jangan ada hal hal yg lain yg akan jadi perbincangan publik.
makasih","['segeralah', 'pak', 'di', 'perbaiki', 'jangan', 'ada', 'hal', 'hal', 'yg', 'lain', 'yg', 'akan', 'jadi', 'perbincangan', 'publik', 'makasih']","['segeralah', 'pak', 'perbaiki', 'jangan', 'perbincangan', 'publik', 'makasih']","['segera', 'pak', 'baik', 'jangan', 'bincang', 'publik', 'makasih']",segera pak baik jangan bincang publik makasih
"ga mau ah aku sampe jam 2malam ga bisa tidur grgr mati lampu, kepanasan 😌😌",Jadwal & Kegiatan,Tidak Berisiko,"ga mau ah aku sampe jam 2malam ga bisa tidur grgr mati lampu, kepanasan 😌😌","['ga', 'mau', 'ah', 'aku', 'sampe', 'jam', 'malam', 'ga', 'bisa', 'tidur', 'grgr', 'mati', 'lampu', 'kepanasan']","['mau', 'ah', 'aku', 'sampe', 'jam', 'malam', 'tidur', 'grgr', 'mati', 'lampu', 'kepanasan']","['mau', 'ah', 'aku', 'sampe', 'jam', 'malam', 'tidur', 'grgr', 'mati', 'lampu', 'panas']",mau ah aku sampe jam malam tidur grgr mati lampu panas
Woii marelan pasar 1 rel gak idup2 sampek detik ini 😡😡😡,Percakapan Biasa,Tidak Berisiko,woii marelan pasar 1 rel gak idup2 sampek detik ini 😡😡😡,"['woii', 'marelan', 'pasar', 'rel', 'gak', 'idup', 'sampek', 'detik', 'ini']","['woii', 'marelan', 'pasar', 'rel', 'idup', 'sampek', 'detik']","['woii', 'marelan', 'pasar', 'rel', 'idup', 'sampek', 'detik']",woii marelan pasar rel idup sampek detik
"Tidak Becus, Pejabat Dengan Sistem Suka Bayar Didepan, Giliran Masalah cukup minta maaf",Transaksi Aman,Tidak Berisiko,"tidak becus, pejabat dengan sistem suka bayar didepan, giliran masalah cukup minta maaf","['tidak', 'becus', 'pejabat', 'dengan', 'sistem', 'suka', 'bayar', 'didepan', 'giliran', 'masalah', 'cukup', 'minta', 'maaf']","['becus', 'pejabat', 'sistem', 'suka', 'bayar', 'didepan', 'giliran', 'masalah', 'cukup', 'minta', 'maaf']","['becus', 'jabat', 'sistem', 'suka', 'bayar', 'depan', 'gilir', 'masalah', 'cukup', 'minta', 'maaf']",becus jabat sistem suka bayar depan gilir masalah cukup minta maaf
yang sampe sekarang belum hidup tunjuk tangan ☝️,Percakapan Biasa,Tidak Berisiko,yang sampe sekarang belum hidup tunjuk tangan ☝️,"['yang', 'sampe', 'sekarang', 'belum', 'hidup', 'tunjuk', 'tangan']","['sampe', 'sekarang', 'hidup', 'tunjuk', 'tangan']","['sampe', 'sekarang', 'hidup', 'tunjuk', 'tangan']",sampe sekarang hidup tunjuk tangan
di sini mati lampu woy 🗿,Percakapan Biasa,Tidak Berisiko,di sini mati lampu woy 🗿,"['di', 'sini', 'mati', 'lampu', 'woy']","['sini', 'mati', 'lampu', 'woy']","['sini', 'mati', 'lampu', 'woy']",sini mati lampu woy
moga ada penambahan kwh nya pas beli token ya pak,Informasi Umum,Tidak Berisiko,moga ada penambahan kwh nya pas beli token ya pak,"['moga', 'ada', 'penambahan', 'kwh', 'nya', 'pas', 'beli', 'token', 'ya', 'pak']","['moga', 'penambahan', 'kwh', 'pas', 'beli', 'token', 'pak']","['moga', 'tambah', 'kwh', 'pas', 'beli', 'token', 'pak']",moga tambah kwh pas beli token pak
"kasihlah kompensasi kami, PLN matikan lampu kami Satu malam kasihlah kompensasi, kalau PLN telat bayar aja terus diputus lampu arus listrik kami, nggak mau repot buat tongen PLN kami",Kata Kasar & Ancaman,Berisiko,"kasihlah kompensasi kami, pln matikan lampu kami satu malam kasihlah kompensasi, kalau pln telat bayar aja terus diputus lampu arus listrik kami, nggak mau repot buat tongen pln kami","['kasihlah', 'kompensasi', 'kami', 'pln', 'matikan', 'lampu', 'kami', 'satu', 'malam', 'kasihlah', 'kompensasi', 'kalau', 'pln', 'telat', 'bayar', 'aja', 'terus', 'diputus', 'lampu', 'arus', 'listrik', 'kami', 'nggak', 'mau', 'repot', 'buat', 'tongen', 'pln', 'kami']","['kasihlah', 'kompensasi', 'pln', 'matikan', 'lampu', 'satu', 'malam', 'kasihlah', 'kompensasi', 'kalau', 'pln', 'telat', 'bayar', 'aja', 'terus', 'diputus', 'lampu', 'arus', 'listrik', 'mau', 'repot', 'buat', 'tongen', 'pln']","['kasih', 'kompensasi', 'pln', 'mati', 'lampu', 'satu', 'malam', 'kasih', 'kompensasi', 'kalau', 'pln', 'telat', 'bayar', 'aja', 'terus', 'putus', 'lampu', 'arus', 'listrik', 'mau', 'repot', 'buat', 'tongen', 'pln']",kasih kompensasi pln mati lampu satu malam kasih kompensasi kalau pln telat bayar aja terus putus lampu arus listrik mau repot buat tongen pln
untuk bulan ini tolong gratiskan bayarnya ya. jng maaf2 aja kami juga rugi,Percakapan Biasa,Tidak Berisiko,untuk bulan ini tolong gratiskan bayarnya ya. jng maaf2 aja kami juga rugi,"['untuk', 'bulan', 'ini', 'tolong', 'gratiskan', 'bayarnya', 'ya', 'jng', 'maaf', 'aja', 'kami', 'juga', 'rugi']","['bulan', 'gratiskan', 'bayarnya', 'jng', 'maaf', 'aja', 'rugi']","['bulan', 'gratis', 'bayar', 'jng', 'maaf', 'aja', 'rugi']",bulan gratis bayar jng maaf aja rugi
"ini masih blm nyala loo, astaghfirullah",Percakapan Biasa,Tidak Berisiko,"ini masih blm nyala loo, astaghfirullah","['ini', 'masih', 'blm', 'nyala', 'loo', 'astaghfirullah']","['blm', 'nyala', 'loo', 'astaghfirullah']","['blm', 'nyala', 'loo', 'astaghfirullah']",blm nyala loo astaghfirullah
"smpai skrng blom hidup , tolong segera di tngani",Percakapan Biasa,Tidak Berisiko,"smpai skrng blom hidup , tolong segera di tngani","['smpai', 'skrng', 'blom', 'hidup', 'tolong', 'segera', 'di', 'tngani']","['smpai', 'skrng', 'blom', 'hidup', 'segera', 'tngani']","['smpai', 'skrng', 'blom', 'hidup', 'segera', 'tngani']",smpai skrng blom hidup segera tngani
"minta maaf Pak, kami maaf kan tp kinerja nya harus di tingkatkan jgn udah mati baru di kerjakan mana maintenance nya",Percakapan Biasa,Tidak Berisiko,"minta maaf pak, kami maaf kan tp kinerja nya harus di tingkatkan jgn udah mati baru di kerjakan mana maintenance nya","['minta', 'maaf', 'pak', 'kami', 'maaf', 'kan', 'tp', 'kinerja', 'nya', 'harus', 'di', 'tingkatkan', 'jgn', 'udah', 'mati', 'baru', 'di', 'kerjakan', 'mana', 'maintenance', 'nya']","['minta', 'maaf', 'pak', 'maaf', 'kan', 'tp', 'kinerja', 'tingkatkan', 'jgn', 'udah', 'mati', 'baru', 'kerjakan', 'mana', 'maintenance']","['minta', 'maaf', 'pak', 'maaf', 'kan', 'tp', 'kerja', 'tingkat', 'jgn', 'udah', 'mati', 'baru', 'kerja', 'mana', 'maintenance']",minta maaf pak maaf kan tp kerja tingkat jgn udah mati baru kerja mana maintenance
Permohonan maaf ditolak,Percakapan Biasa,Tidak Berisiko,permohonan maaf ditolak,"['permohonan', 'maaf', 'ditolak']","['permohonan', 'maaf', 'ditolak']","['mohon', 'maaf', 'tolak']",mohon maaf tolak
"Gitu doang ya...
Enak banget ya.....
Harusnya di buat regulasi yang jelas bukan untuk masyarakat saja tapi untuk pemerintah juga.
Negara ini milik bersama bukan hanya pemerintah saja.",Percakapan Biasa,Tidak Berisiko,"gitu doang ya...
enak banget ya.....
harusnya di buat regulasi yang jelas bukan untuk masyarakat saja tapi untuk pemerintah juga.
negara ini milik bersama bukan hanya pemerintah saja.","['gitu', 'doang', 'ya', 'enak', 'banget', 'ya', 'harusnya', 'di', 'buat', 'regulasi', 'yang', 'jelas', 'bukan', 'untuk', 'masyarakat', 'saja', 'tapi', 'untuk', 'pemerintah', 'juga', 'negara', 'ini', 'milik', 'bersama', 'bukan', 'hanya', 'pemerintah', 'saja']","['gitu', 'doang', 'enak', 'banget', 'harusnya', 'buat', 'regulasi', 'jelas', 'bukan', 'masyarakat', 'pemerintah', 'negara', 'milik', 'bersama', 'bukan', 'pemerintah']","['gitu', 'doang', 'enak', 'banget', 'harus', 'buat', 'regulasi', 'jelas', 'bukan', 'masyarakat', 'perintah', 'negara', 'milik', 'sama', 'bukan', 'perintah']",gitu doang enak banget harus buat regulasi jelas bukan masyarakat perintah negara milik sama bukan perintah
Byr listrik gak pernah telat token makin naik listrik semua makin naik listrik,Informasi Umum,Tidak Berisiko,byr listrik gak pernah telat token makin naik listrik semua makin naik listrik,"['byr', 'listrik', 'gak', 'pernah', 'telat', 'token', 'makin', 'naik', 'listrik', 'semua', 'makin', 'naik', 'listrik']","['byr', 'listrik', 'pernah', 'telat', 'token', 'makin', 'naik', 'listrik', 'semua', 'makin', 'naik', 'listrik']","['byr', 'listrik', 'pernah', 'telat', 'token', 'makin', 'naik', 'listrik', 'semua', 'makin', 'naik', 'listrik']",byr listrik pernah telat token makin naik listrik semua makin naik listrik
GAK DIMAAFIN!!!!!!!!!,Percakapan Biasa,Tidak Berisiko,gak dimaafin!!!!!!!!!,"['gak', 'dimaafin']",['dimaafin'],['dimaafin'],dimaafin
Alamat mau nambah rugi. Pejabat nya Hedon. Karyawan biasa PLN aja aduhhhhh......,Informasi Umum,Tidak Berisiko,alamat mau nambah rugi. pejabat nya hedon. karyawan biasa pln aja aduhhhhh......,"['alamat', 'mau', 'nambah', 'rugi', 'pejabat', 'nya', 'hedon', 'karyawan', 'biasa', 'pln', 'aja', 'aduhhhhh']","['alamat', 'mau', 'nambah', 'rugi', 'pejabat', 'hedon', 'karyawan', 'biasa', 'pln', 'aja', 'aduhhhhh']","['alamat', 'mau', 'nambah', 'rugi', 'jabat', 'hedon', 'karyawan', 'biasa', 'pln', 'aja', 'aduhhhhh']",alamat mau nambah rugi jabat hedon karyawan biasa pln aja aduhhhhh
di daerah kami dari jam 18 malam sampai jam 7 pagi baru bisa hidup lampu nya 🥺😭,Jadwal & Kegiatan,Tidak Berisiko,di daerah kami dari jam 18 malam sampai jam 7 pagi baru bisa hidup lampu nya 🥺😭,"['di', 'daerah', 'kami', 'dari', 'jam', 'malam', 'sampai', 'jam', 'pagi', 'baru', 'bisa', 'hidup', 'lampu', 'nya']","['daerah', 'jam', 'malam', 'jam', 'pagi', 'baru', 'hidup', 'lampu']","['daerah', 'jam', 'malam', 'jam', 'pagi', 'baru', 'hidup', 'lampu']",daerah jam malam jam pagi baru hidup lampu
mana naik trs listrik ini,Informasi Umum,Tidak Berisiko,mana naik trs listrik ini,"['mana', 'naik', 'trs', 'listrik', 'ini']","['mana', 'naik', 'trs', 'listrik']","['mana', 'naik', 'trs', 'listrik']",mana naik trs listrik
"akibat lampu mati air pdam mati
bayr listrik bisa discon bulan y pak direktur..",Informasi Umum,Tidak Berisiko,"akibat lampu mati air pdam mati
bayr listrik bisa discon bulan y pak direktur..","['akibat', 'lampu', 'mati', 'air', 'pdam', 'mati', 'bayr', 'listrik', 'bisa', 'discon', 'bulan', 'y', 'pak', 'direktur']","['akibat', 'lampu', 'mati', 'air', 'pdam', 'mati', 'bayr', 'listrik', 'discon', 'bulan', 'pak', 'direktur']","['akibat', 'lampu', 'mati', 'air', 'pdam', 'mati', 'bayr', 'listrik', 'discon', 'bulan', 'pak', 'direktur']",akibat lampu mati air pdam mati bayr listrik discon bulan pak direktur
Pak masih mati sampai sekarang di medan tolong pak udh 16 jam🙃,Kata Kasar & Ancaman,Berisiko,pak masih mati sampai sekarang di medan tolong pak udh 16 jam🙃,"['pak', 'masih', 'mati', 'sampai', 'sekarang', 'di', 'medan', 'tolong', 'pak', 'udh', 'jam']","['pak', 'mati', 'sekarang', 'medan', 'pak', 'udh', 'jam']","['pak', 'mati', 'sekarang', 'medan', 'pak', 'udh', 'jam']",pak mati sekarang medan pak udh jam
PLN bisa di denda ga? jgn minta maaf doang,Informasi Umum,Tidak Berisiko,pln bisa di denda ga? jgn minta maaf doang,"['pln', 'bisa', 'di', 'denda', 'ga', 'jgn', 'minta', 'maaf', 'doang']","['pln', 'denda', 'jgn', 'minta', 'maaf', 'doang']","['pln', 'denda', 'jgn', 'minta', 'maaf', 'doang']",pln denda jgn minta maaf doang
"Klo sudah tau kenapa gak dari awal disampaikan. Baru kejadian dilaporkan 😁😁, Dirut mundur teratur",Percakapan Biasa,Tidak Berisiko,"klo sudah tau kenapa gak dari awal disampaikan. baru kejadian dilaporkan 😁😁, dirut mundur teratur","['klo', 'sudah', 'tau', 'kenapa', 'gak', 'dari', 'awal', 'disampaikan', 'baru', 'kejadian', 'dilaporkan', 'dirut', 'mundur', 'teratur']","['tau', 'awal', 'disampaikan', 'baru', 'kejadian', 'dilaporkan', 'dirut', 'mundur', 'teratur']","['tau', 'awal', 'sampai', 'baru', 'jadi', 'lapor', 'dirut', 'mundur', 'atur']",tau awal sampai baru jadi lapor dirut mundur atur
"pekanbaru jam 10.20 pagi ini mati lampu lagi,,",Jadwal & Kegiatan,Tidak Berisiko,"pekanbaru jam 10.20 pagi ini mati lampu lagi,,","['pekanbaru', 'jam', 'pagi', 'ini', 'mati', 'lampu', 'lagi']","['pekanbaru', 'jam', 'pagi', 'mati', 'lampu']","['pekanbaru', 'jam', 'pagi', 'mati', 'lampu']",pekanbaru jam pagi mati lampu
kalo kesalahan kalian bisa minta maaf...kalon kami ngak bayar listrik Kenan denda......,Transaksi Aman,Tidak Berisiko,kalo kesalahan kalian bisa minta maaf...kalon kami ngak bayar listrik kenan denda......,"['kalo', 'kesalahan', 'kalian', 'bisa', 'minta', 'maaf', 'kalon', 'kami', 'ngak', 'bayar', 'listrik', 'kenan', 'denda']","['kalo', 'kesalahan', 'kalian', 'minta', 'maaf', 'kalon', 'ngak', 'bayar', 'listrik', 'kenan', 'denda']","['kalo', 'salah', 'kalian', 'minta', 'maaf', 'kalon', 'ngak', 'bayar', 'listrik', 'kenan', 'denda']",kalo salah kalian minta maaf kalon ngak bayar listrik kenan denda
"Aduh pak, kami sengsara loh mau mandi gak bisa , mau Bab gak ada air , mau masak gak ada air , malam panas , hp kami gak btrai bnyak urusan yg tertunda oleh karena listri mati ini pak . Kenapa tidak ada pemberitahuan terlebih dahulu kepada kami masyarakat ini pak, kami mohon kejadian secepat ya di selesai kan dan tidak berkelanjutan karena sangat merugikan masyarakat loh pak ,",Kata Kasar & Ancaman,Berisiko,"aduh pak, kami sengsara loh mau mandi gak bisa , mau bab gak ada air , mau masak gak ada air , malam panas , hp kami gak btrai bnyak urusan yg tertunda oleh karena listri mati ini pak . kenapa tidak ada pemberitahuan terlebih dahulu kepada kami masyarakat ini pak, kami mohon kejadian secepat ya di selesai kan dan tidak berkelanjutan karena sangat merugikan masyarakat loh pak ,","['aduh', 'pak', 'kami', 'sengsara', 'loh', 'mau', 'mandi', 'gak', 'bisa', 'mau', 'bab', 'gak', 'ada', 'air', 'mau', 'masak', 'gak', 'ada', 'air', 'malam', 'panas', 'hp', 'kami', 'gak', 'btrai', 'bnyak', 'urusan', 'yg', 'tertunda', 'oleh', 'karena', 'listri', 'mati', 'ini', 'pak', 'kenapa', 'tidak', 'ada', 'pemberitahuan', 'terlebih', 'dahulu', 'kepada', 'kami', 'masyarakat', 'ini', 'pak', 'kami', 'mohon', 'kejadian', 'secepat', 'ya', 'di', 'selesai', 'kan', 'dan', 'tidak', 'berkelanjutan', 'karena', 'sangat', 'merugikan', 'masyarakat', 'loh', 'pak']","['aduh', 'pak', 'sengsara', 'loh', 'mau', 'mandi', 'mau', 'bab', 'air', 'mau', 'masak', 'air', 'malam', 'panas', 'hp', 'btrai', 'bnyak', 'urusan', 'tertunda', 'listri', 'mati', 'pak', 'pemberitahuan', 'terlebih', 'masyarakat', 'pak', 'mohon', 'kejadian', 'secepat', 'selesai', 'kan', 'berkelanjutan', 'sangat', 'merugikan', 'masyarakat', 'loh', 'pak']","['aduh', 'pak', 'sengsara', 'loh', 'mau', 'mandi', 'mau', 'bab', 'air', 'mau', 'masak', 'air', 'malam', 'panas', 'hp', 'btrai', 'bnyak', 'urus', 'tunda', 'listri', 'mati', 'pak', 'pemberitahuan', 'lebih', 'masyarakat', 'pak', 'mohon', 'jadi', 'cepat', 'selesai', 'kan', 'lanjut', 'sangat', 'rugi', 'masyarakat', 'loh', 'pak']",aduh pak sengsara loh mau mandi mau bab air mau masak air malam panas hp btrai bnyak urus tunda listri mati pak pemberitahuan lebih masyarakat pak mohon jadi cepat selesai kan lanjut sangat rugi masyarakat loh pak
kok audit itu PT PLN,Informasi Umum,Tidak Berisiko,kok audit itu pt pln,"['kok', 'audit', 'itu', 'pt', 'pln']","['kok', 'audit', 'pt', 'pln']","['kok', 'audit', 'pt', 'pln']",kok audit pt pln
maaf lampu di Sumatera sudah berapa hari tidak nyala yah,Percakapan Biasa,Tidak Berisiko,maaf lampu di sumatera sudah berapa hari tidak nyala yah,"['maaf', 'lampu', 'di', 'sumatera', 'sudah', 'berapa', 'hari', 'tidak', 'nyala', 'yah']","['maaf', 'lampu', 'sumatera', 'berapa', 'hari', 'nyala', 'yah']","['maaf', 'lampu', 'sumatera', 'berapa', 'hari', 'nyala', 'yah']",maaf lampu sumatera berapa hari nyala yah
BAYAR ELIT LISTRIK SULIT 😂😂😂😂😂😂,Transaksi Aman,Tidak Berisiko,bayar elit listrik sulit 😂😂😂😂😂😂,"['bayar', 'elit', 'listrik', 'sulit']","['bayar', 'elit', 'listrik', 'sulit']","['bayar', 'elit', 'listrik', 'sulit']",bayar elit listrik sulit
"minta maaf mah gampang,ganti rugi dong",Percakapan Biasa,Tidak Berisiko,"minta maaf mah gampang,ganti rugi dong","['minta', 'maaf', 'mah', 'gampang', 'ganti', 'rugi', 'dong']","['minta', 'maaf', 'mah', 'gampang', 'ganti', 'rugi']","['minta', 'maaf', 'mah', 'gampang', 'ganti', 'rugi']",minta maaf mah gampang ganti rugi
Alhamdulillah ditempat ku jam 02:25 udh idup lampu,Jadwal & Kegiatan,Tidak Berisiko,alhamdulillah ditempat ku jam 02:25 udh idup lampu,"['alhamdulillah', 'ditempat', 'ku', 'jam', 'udh', 'idup', 'lampu']","['alhamdulillah', 'ditempat', 'jam', 'udh', 'idup', 'lampu']","['alhamdulillah', 'tempat', 'jam', 'udh', 'idup', 'lampu']",alhamdulillah tempat jam udh idup lampu
apa kabar org org yg dirumah sakit😭,Percakapan Biasa,Tidak Berisiko,apa kabar org org yg dirumah sakit😭,"['apa', 'kabar', 'org', 'org', 'yg', 'dirumah', 'sakit']","['apa', 'kabar', 'org', 'org', 'dirumah', 'sakit']","['apa', 'kabar', 'org', 'org', 'rumah', 'sakit']",apa kabar org org rumah sakit
[Stiker] 👍dasarperintahsedikitmaafmakagajagankopsiajalugoplok,Percakapan Biasa,Tidak Berisiko,[stiker] 👍dasarperintahsedikitmaafmakagajagankopsiajalugoplok,"['stiker', 'dasarperintahsedikitmaafmakagajagankopsiajalugoplok']","['stiker', 'dasarperintahsedikitmaafmakagajagankopsiajalugoplok']","['stiker', 'dasarperintahsedikitmaafmakagajagankopsiajalugoplok']",stiker dasarperintahsedikitmaafmakagajagankopsiajalugoplok
kpan hidup pak,Percakapan Biasa,Tidak Berisiko,kpan hidup pak,"['kpan', 'hidup', 'pak']","['kpan', 'hidup', 'pak']","['kpan', 'hidup', 'pak']",kpan hidup pak
anak aku smpe nangis mti lampu untung ape aku di cas abis rmh sakit pke ape lgi,Percakapan Biasa,Tidak Berisiko,anak aku smpe nangis mti lampu untung ape aku di cas abis rmh sakit pke ape lgi,"['anak', 'aku', 'smpe', 'nangis', 'mti', 'lampu', 'untung', 'ape', 'aku', 'di', 'cas', 'abis', 'rmh', 'sakit', 'pke', 'ape', 'lgi']","['anak', 'aku', 'smpe', 'nangis', 'mti', 'lampu', 'untung', 'ape', 'aku', 'cas', 'abis', 'rmh', 'sakit', 'pke', 'ape', 'lgi']","['anak', 'aku', 'smpe', 'nang', 'mti', 'lampu', 'untung', 'ape', 'aku', 'cas', 'abis', 'rmh', 'sakit', 'pke', 'ape', 'lgi']",anak aku smpe nang mti lampu untung ape aku cas abis rmh sakit pke ape lgi
"Gamau, ampe nangis gara kepanasan ga bisa tidurrr🙄🙄",Percakapan Biasa,Tidak Berisiko,"gamau, ampe nangis gara kepanasan ga bisa tidurrr🙄🙄","['gamau', 'ampe', 'nangis', 'gara', 'kepanasan', 'ga', 'bisa', 'tidurrr']","['gamau', 'ampe', 'nangis', 'gara', 'kepanasan', 'tidurrr']","['gamau', 'ampe', 'nang', 'gara', 'panas', 'tidurrr']",gamau ampe nang gara panas tidurrr
