pesan,kategori,label
BUKAN HANYA KALI INI PAK. AKHIR2 INI RIAU MEMANG SERING MATI LAMPU. PADAHAL TINGGAL DI KOTA. APAKAH INI EFEK EFISIENSI?,Percakapan Biasa,Tidak Berisiko
anj lah sampe skrg gk hidup ini listrik tinggal di tengah kota medan loh aku ini 😭😭😭,Informasi Umum,Tidak Berisiko
di bengkulu juga kena yaaa,Percakapan Biasa,Tidak Berisiko
Aku udah nyumpahin td mlm 😭😭minta maaf nya skrang udah terlanjur nyumpahin marah2😭,Percakapan Biasa,Tidak Berisiko
semalam hampir 9jam,Percakapan Biasa,Tidak Berisiko
PLN pilih kasih cuma di sumatra terus yg mati listrik di jawa gak pernah tuh,Informasi Umum,Tidak Berisiko
PLN Tdk Dirawat y Rusak......,Informasi Umum,Tidak Berisiko
gua lagi ngaji mati lampu belum maju baca gua pln p nya apa patek,Informasi Umum,Tidak Berisiko
PLN harus ganti rugi...,Informasi Umum,Tidak Berisiko
gara2 mati lampu MLM tdi AQ dan anakku sampe tidur di keramik saking gak kuat kepanasan,Percakapan Biasa,Tidak Berisiko
"situ salah, maaf...
telat bayar surat cinta dan denda, begitu kan?
tp tau gak, bnyk org cari duit mengndlka listrik",Transaksi Aman,Tidak Berisiko
mf pak.. lain harus ada pemberitahuan dahulu pak sebelum pemadaman..,Informasi Umum,Tidak Berisiko
kelamaan ngomongnya terpaksa pakek percepat x2 😂,Percakapan Biasa,Tidak Berisiko
"g maaf aja pak, kami telat kena denda lena pemutusan. yg prabayar beli dlu, belum dpake udah kena pajak dluan. pas begini cukup maaf aja gitu?",Percakapan Biasa,Tidak Berisiko
Medan belum hidup sama sekali,Percakapan Biasa,Tidak Berisiko
SAMPEK SKRG BELUM HIDUP TRUS KEK MANA????? Hp kami lobeettt gabisa liat tiktookkk😏,Percakapan Biasa,Tidak Berisiko
"mau minta ganti rugi kompebsasi
pln nya malah rugi terus😁",Informasi Umum,Tidak Berisiko
pak sumatera selatan jg mati😭,Percakapan Biasa,Tidak Berisiko
aduhh ini kotabumi blackout lagi setelah semalam 5 jam,Percakapan Biasa,Tidak Berisiko
jalurnya ya...,Percakapan Biasa,Tidak Berisiko
padahal mo ngerank😳,Percakapan Biasa,Tidak Berisiko
oooyo maaf lek,Percakapan Biasa,Tidak Berisiko
maaf tok,Percakapan Biasa,Tidak Berisiko
"Ikan koi gue mati noh, gada konpensasi kah? Giliran telar bayar kena denda asuw",Transaksi Aman,Tidak Berisiko
maaf.???? ini nih klau pemerintah. kerugian masyarakat ngk kalian perhitungkan.,Percakapan Biasa,Tidak Berisiko
"Udhlah pak gausah banyak cakap, hidupin aja lampu kami, udh mati 16 jam .",Percakapan Biasa,Tidak Berisiko
"minta maaf doang, bgini bisa berkali kali... skrg aja masih mati lampu pakkk",Percakapan Biasa,Tidak Berisiko
Info info berapa masuk,Percakapan Biasa,Tidak Berisiko
gara gara pln aku digigitin nyamuk smlm,Informasi Umum,Tidak Berisiko
Gara2 mati lampu anak ku tidur gak nyenyak sampai gak pakek baju…sebelum tidur bawak jalan2 cari angin sampai jam 1malam😭,Jadwal & Kegiatan,Tidak Berisiko
"sepertinya aku harus beli genset, buat sumur sama dapur kayu yg estetik jadi besok2 aku gak perlu kecewa lagi sama org2 yg ujung2 cuma minta maaf..",Percakapan Biasa,Tidak Berisiko
tujuan nya SDH jelas pak gak usah banyak omon2,Percakapan Biasa,Tidak Berisiko
"jangan minta maaf aja, gerak cepat cok dah tau di Sumatera matahari nya serasa di samping leher.",Kata Kasar & Ancaman,Berisiko
hc ULTI abis sudah kalam🗿,Percakapan Biasa,Tidak Berisiko
"Sumsel juga mati woy kenapa ga disebut,dari abis magrib sampe jam 12 malem baru idup😏",Jadwal & Kegiatan,Tidak Berisiko
"terjadi 2 tahun sekali, 2024 pernah juga sekarang 2026",Percakapan Biasa,Tidak Berisiko
medan kota polonia blm juga hdp sampe skrg😥,Percakapan Biasa,Tidak Berisiko
PAK INI UDAH HAMPIR 17 JAM😭😭😭😭😭😭😭😭😭 MASALAHNYA JARINGAN JUGA GAADA TD MALAM😭😭,Percakapan Biasa,Tidak Berisiko
"Sistem kelistrikan rokan hulu juga di perbaiki pak, sering padam",Percakapan Biasa,Tidak Berisiko
"Udah2 pak sudah saya maafkan,trmksh juga kpd team PLN yg sudah kerja keras secara maksimal.",Informasi Umum,Tidak Berisiko
"minimal meringkan kayak potongan pembayaran pln dan bonus bbrp kwh untuk pengisian token ,jangan maaf doang pak,kami telat bayar bapak gak terima maaf kamii !!!!!",Transaksi Aman,Tidak Berisiko
"Ganti ngk duit gua,gara matilampu gua keluyuran djlnan cari angin ,ganti uang bensin guaa",Percakapan Biasa,Tidak Berisiko
Masih mati lampu nih paakk 💦💦,Percakapan Biasa,Tidak Berisiko
"seharusnya mereka menggratiskan pembayaran listrik
untuk bulan ini.
karna termasuk kelalaian yang keterlaluan",Transaksi Aman,Tidak Berisiko
g dimaapin to much g si,Percakapan Biasa,Tidak Berisiko
"cerita yg pokok"" aja udah masarakat mana Thu yg penting lampu hidup😅😂",Percakapan Biasa,Tidak Berisiko
ada apa dan siapa yg memerintahkan pak??,Percakapan Biasa,Tidak Berisiko
minta maaf mulu pak 🙃,Percakapan Biasa,Tidak Berisiko
kenapa harus malam😂,Percakapan Biasa,Tidak Berisiko
intinya apa woi? panjang x videonya soalnya,Percakapan Biasa,Tidak Berisiko
Kami sampai skrg belum hidup.,Percakapan Biasa,Tidak Berisiko
PLN wajib memberikan kopen sasi,Informasi Umum,Tidak Berisiko
kok di matin lampu ya,Percakapan Biasa,Tidak Berisiko
woi kmi Sumsel juga mati lampu bkn dri black out tdi malem sblumnya pun udah mati lampu trus kmi tiap malem berturut2 itu gak disebut,Percakapan Biasa,Tidak Berisiko
"jangan cuma minta maaf pak , coba kasih masyarakat kompensasi sebagai bentuk kepedulian pln ,",Informasi Umum,Tidak Berisiko
trimakasih pak sdh lebih cepat melakukan langkah²...👍,Percakapan Biasa,Tidak Berisiko
Bangkinang kab.kampar .jg,Percakapan Biasa,Tidak Berisiko
ah bkl ga ada gitu bkl malam tadi itu mati lampu,Percakapan Biasa,Tidak Berisiko
Medan juga pak,Percakapan Biasa,Tidak Berisiko
kalau di wilayah saya setiap hari pasti padam 3 sampai 4 kali dlm waktu satu hari.dan itu sudah sejak thn 2020.sampai sekarang.,Percakapan Biasa,Tidak Berisiko
oooooo pak di daerahku 12 jam pak dari magrib smpai pagi 😔,Percakapan Biasa,Tidak Berisiko
blm hidup jg ini dri smlm jm 18.45 uda banjir keringat awak,Percakapan Biasa,Tidak Berisiko
iya gpp pak saya maafin saya coba ngertiin jangan diulangin lagi ya,Percakapan Biasa,Tidak Berisiko
ngomong bertele tele trus mutar mutar,Percakapan Biasa,Tidak Berisiko
"terus kerugian kami atas padam nya listrik itu bagaimana, jgn cuma minta maaf doang",Informasi Umum,Tidak Berisiko
sampe skrg jaringan Indosat ku ga hidup ini. paksa beli kuota telkomsel,Percakapan Biasa,Tidak Berisiko
diskon listrik 50 % atau mundur kau,Informasi Umum,Tidak Berisiko
"HALOOOOO KAMI UDAH 18JAM INI MEDAN JOHOR EKA RASMI TOLONG DONG ,MASA ADA YG JAM 2 PAGI UDH IDUP GA FAIR BGTTTTTTTTT",Jadwal & Kegiatan,Tidak Berisiko
"BENGKULU KENA , tp untung gak lama, cma 3 jam",Percakapan Biasa,Tidak Berisiko
"Tapanuli Tengah sudah terbiasa dengan hal itu, merasakan 2 minggu tidak ada listrik dan tidak ada jaringan, tidak ada minyak, semua kembali seperti jaman dahulu ..",Informasi Umum,Tidak Berisiko
Kompensasi la ganti rugi token 500rb kek 😏,Percakapan Biasa,Tidak Berisiko
"aku semalam begadang loh pak anak ku 20 bulan ssh tidur krna kepanasan, alhasil tmpt kerja aku ngantuk pak. kirim duit Napa pak",Percakapan Biasa,Tidak Berisiko
berapa rupiah kau dapat Dirut PLN seenaknya kau minta maaf. lalu rakyat yg punya usaha berapa besar kerugian. perusahaan dan UKM UKM di 5 provinsi Sumatera,Informasi Umum,Tidak Berisiko
Di singkat aj ngomong nya pak.. kpn hidup ny listrik.. batre ku low 😢,Informasi Umum,Tidak Berisiko
medan pak smpe sekarang masih sebagian nyala..rumah sakit jln sm raja sj bisa kalian abaikan pake genset.bayat g bs telat .token . gaji kalian besar2 tapi t.jawab kalian nolll kemasyarakat,Percakapan Biasa,Tidak Berisiko
pliss adain event ini setiap bulan🔥 seru juga,Percakapan Biasa,Tidak Berisiko
sumsel tak kau sebut 😅,Percakapan Biasa,Tidak Berisiko
kami mohon maaf juga apa bila bulan depan kami membayar ya setengah tagihan..kami mohon maaf yg sebesar besarnya😂😂 knoha,Transaksi Aman,Tidak Berisiko
"di Chin sudah pakai panel Surya, kita ksih berharap dgn minyak.",Percakapan Biasa,Tidak Berisiko
saya kembali ke jaman batu semalem pak 🗿,Percakapan Biasa,Tidak Berisiko
kayaknya itu gegara bosnya pln si caplin marah makanya bermasalah,Informasi Umum,Tidak Berisiko
PLN konsolll,Informasi Umum,Tidak Berisiko
"Pak, kmi punya bayi😭🥹 dari jam 19.00 sampai sekrggg blm nyalaaa😡😭",Jadwal & Kegiatan,Tidak Berisiko
koncet² minta maaf doang mah gampang nih dari habis magrib loh mati lampu nih Sampek sekrng belum hidup2 jugak koncet lah 😭😭,Percakapan Biasa,Tidak Berisiko
sudah di prediksi,Percakapan Biasa,Tidak Berisiko
mati 18.45 smlm. sampek skrng blm hidup. kekmana ini🥺,Percakapan Biasa,Tidak Berisiko
Kejadian ini sudah beberapa kali. PLN tidak pernah mengambil pelajaran untuk memperbaiki kondisi begini,Informasi Umum,Tidak Berisiko
👌👌semangat trus,Percakapan Biasa,Tidak Berisiko
antisipasi terlambat ya. pak... sehingga pengabaian yng ada...,Percakapan Biasa,Tidak Berisiko
hipang kemna pak siapa yang mencuri pak😁,Percakapan Biasa,Tidak Berisiko
tidak mampu mundurrrrr...,Percakapan Biasa,Tidak Berisiko
Riau panas pak. Saya harus nunggu dr jam 7 malam sampai jam 3 pagi. Tidur keringetan. Sambil kipasin anak😏,Jadwal & Kegiatan,Tidak Berisiko
"aman pak, gpp sumpah, asli gpp, dah biasa kami Sumatra bagian pelosok ini mati lampu, sehari 10 kali mati ttp kami senyumin, 3 hari mati total pun tetap kami senyumin, gak usah pala hidupkan lgi lampu itu, dah jadi manusia purba kami disini",Percakapan Biasa,Tidak Berisiko
perusahaan lilin negara. coba di adjust lagi upah2 pejabat ini utk dialokasikan pemeliharaan atau membuat pembangkit regional.,Percakapan Biasa,Tidak Berisiko
"hebat jg dari daerah kecil di salah satu kabupaten,bisa melumpuhkan listrik 1 pulau 😳",Informasi Umum,Tidak Berisiko
gak sbar aku dgerkannya,Percakapan Biasa,Tidak Berisiko
di riau jam 18:44-05:35,Jadwal & Kegiatan,Tidak Berisiko
"Satu kata 15 detik, satu kata 15 detik",Percakapan Biasa,Tidak Berisiko
"klu Telat bayar listrik d Denda
itu gimana banyak usaha masyarakat nggak jalan ???",Transaksi Aman,Tidak Berisiko
ya namanya juga listrikk.. kerusakan pastilah d kelistrikan...😂😂 terserah kalian lahh... kami beli voucer ga pakai subsidi..,Percakapan Biasa,Tidak Berisiko
"aman laa om, dah mati api tik tok ku",Percakapan Biasa,Tidak Berisiko
"enak x kau bilang minta maaf, trus kalo telat bayar kau denda trus pelanggan minta maaf telat bayar tetap kau denda",Transaksi Aman,Tidak Berisiko
[Stiker] .,Percakapan Biasa,Tidak Berisiko
"Kmi di Riau punya MRPR, PLTU Tenayan, PLN di sungai Duku, knp ada msalah di luar provinsi kami, kami kena dampaknya?",Informasi Umum,Tidak Berisiko
dari jam 7 malem smpe sekrang medan belum hidup lampu,Jadwal & Kegiatan,Tidak Berisiko
"Di perumahan kami asli mati 15 jam baru hidup jam 10 pagi td, sementara ada teman yg sesama tinggal di Medan ngabarin di rumahnya jam 12 malam udah hidup. Oalah PLN PLN",Jadwal & Kegiatan,Tidak Berisiko
Harus bayar kompensasi.,Transaksi Aman,Tidak Berisiko
"giliran telat di denda ,giliran gini klarifikasi gak ada kompensasi",Percakapan Biasa,Tidak Berisiko
"tim nya OUTSORCING pula itu😅
KONOHA",Percakapan Biasa,Tidak Berisiko
[Stiker] GAA GA DIMAAFINN,Percakapan Biasa,Tidak Berisiko
"Woi gratis token listrik la bujanggg, dah rugi kami.",Informasi Umum,Tidak Berisiko
tempat kami mati dari jam 18 45 sampai sekarang belum hidup jam 11 30,Jadwal & Kegiatan,Tidak Berisiko
"giliran telat bayar ,gak bisa awak mohon maaf langsung di potong kabel awak🥺",Transaksi Aman,Tidak Berisiko
"gilaaaa ga idup"" woiii, lama kali mo berak aku gada aerrr",Percakapan Biasa,Tidak Berisiko
"pengalihan isu nih pasti, masa sampai saat ini belum hidup sih",Percakapan Biasa,Tidak Berisiko
jancokk.ujung ujung nyaa pasti naik lgi ni biaya listrik.udah lagu lama iniii,Informasi Umum,Tidak Berisiko
harusnya PLN memberikan kompensasi,Informasi Umum,Tidak Berisiko
Parah,Percakapan Biasa,Tidak Berisiko
maaf .. aq fikir mau mundur,Percakapan Biasa,Tidak Berisiko
maaf pak..,Percakapan Biasa,Tidak Berisiko
"tolong jangan lama"" pak",Percakapan Biasa,Tidak Berisiko
Kami maafkan tp jgan begini lagi yaa,Percakapan Biasa,Tidak Berisiko
"saya maaf kan, kalau bisa seminggu 34 kali di padam kan pak, biar tenang.",Percakapan Biasa,Tidak Berisiko
Dr dulu merugikan negara dan rakyat.,Percakapan Biasa,Tidak Berisiko
Dari tanggal 22/05/2026 pukul 18.45 sampai saat ini 23/05/2026 pukul 11.31 belum juga hidup,Jadwal & Kegiatan,Tidak Berisiko
asik minta maaf ajaa.. sesekali ganti rugi laa.. jgn mau enaknya aj..,Percakapan Biasa,Tidak Berisiko
PLN ayoo!!!jan lupo kasih Subsidi..eloktronik rumah tngga...kalau ado yg rusakk...,Informasi Umum,Tidak Berisiko
kerugian saya 2 milyar🙂,Percakapan Biasa,Tidak Berisiko
ganti rugi pak. please. babi saya pulang nyasar waktu ngepet karena banyak yang pasang lilin. terpaksa ganti baru ini 😫,Kata Kasar & Ancaman,Berisiko
"biasa aja pak,, kalau bisa 1 bulan full buat kayak gitu.",Percakapan Biasa,Tidak Berisiko
jika pelanggan telat bayar bisa memohon maaf ya pak,Transaksi Aman,Tidak Berisiko
tuntut diskon bayar pln 😂😂,Transaksi Aman,Tidak Berisiko
terlalu banyak ceritanya😅,Percakapan Biasa,Tidak Berisiko
ini sumbar mati lagi blm hidup2 juga,Percakapan Biasa,Tidak Berisiko
"gara"" bapak yg punya ikan"" rugi hampir 1m",Percakapan Biasa,Tidak Berisiko
Kompensasi bang,Percakapan Biasa,Tidak Berisiko
kira2 kalo DKI jakarta seluruhnya mati lampu selama itu gimana ya? wkwk,Percakapan Biasa,Tidak Berisiko
Dari 18.44 sampai 03.45,Percakapan Biasa,Tidak Berisiko
dari jam 7 malam sampe skrg belum hidup ini sialan🗿,Kata Kasar & Ancaman,Berisiko
lama amat sih ngomong ny bikin emosi aja,Percakapan Biasa,Tidak Berisiko
tulang bawang Barat Lampung mati dari jam 19.00-00.00 😭,Jadwal & Kegiatan,Tidak Berisiko
medan belum nyala pak. 🥺,Percakapan Biasa,Tidak Berisiko
kami maafkan om...andai ada pelanggan yang telat bayar tagihan tolong dimaafkan juga ya om..,Transaksi Aman,Tidak Berisiko
Banyak Kali Cakap Kau,Percakapan Biasa,Tidak Berisiko
"inti nya jangan pada makan gaji buta..
masa sebesar PLN bisa gak kontrol..
klo nunggu udah rusak baru bertindak, itu tanda ny gak pernah kontrol..",Informasi Umum,Tidak Berisiko
"Terserah mu lah bicara pak..minta maaf aja mana bisa,kerugian masyarakat yg ekonomi nya bergantung dg listrik",Informasi Umum,Tidak Berisiko
"Didumai riau 7 jam pak mati lampunya , skrg mati lampu lagi 🫤🫤🫤",Percakapan Biasa,Tidak Berisiko
"saat in d tempat saya masih padam lampu ny,",Percakapan Biasa,Tidak Berisiko
untung pas nyala☺️,Percakapan Biasa,Tidak Berisiko
banyakkk ngomong udh jam berapa hidup nyaa orang beraktivitas susah,Percakapan Biasa,Tidak Berisiko
"Bakso ku basi gara"" lampu gak hidup hidup..mana modal pas Pasan sedang merintis 😭😭😭",Percakapan Biasa,Tidak Berisiko
pecaaat semuanya,Percakapan Biasa,Tidak Berisiko
pak Dr jam 18.45 sampai jam 9.00 pagi pakkk...,Jadwal & Kegiatan,Tidak Berisiko
"hidupin dong listrik nya susah kmu yg kerja atau aktivitas kmi jadi terhenti,apakah kmu mau tanggu jawab
kmi kesusahan jdi nya kalau kyk gini",Informasi Umum,Tidak Berisiko
ditempat kami 15jam loh mati listriknya,Percakapan Biasa,Tidak Berisiko
"minta maaf, selesai perkara, enak ya,,
kalau telat bayar tagihan kena denda, dimana keadilan sosial bagi seluruh rakyat Indonesia",Transaksi Aman,Tidak Berisiko
jadi kalau kami telat bayar listrik tolong di maaf kan juga lah ya.jadi sama sama saling memaafkan🤣,Transaksi Aman,Tidak Berisiko
salam dri aceh Tenggara semoga semua tiem PLN di lindungi dlm bekerja krn krj kalian demi masyarakat slm sehat slalu,Informasi Umum,Tidak Berisiko
apa? rugi lagi?🗿🗿🗿,Percakapan Biasa,Tidak Berisiko
trus kalau sudah minta maaf bisa mengatasi masalah?,Percakapan Biasa,Tidak Berisiko
"pakk, aku baru jual eskrim hari pertama kemarin, malah mati lampu selama itu, cair pak cairrrr😭",Percakapan Biasa,Tidak Berisiko
ada yang ngalamin sama ga? pas idup token langsung kurang banyak?,Percakapan Biasa,Tidak Berisiko
"sekarang mati lagi pak lampunya. .
kira-kira berapa jam y pak. .
masalahnya Pekanbaru Hot benar pak. .",Percakapan Biasa,Tidak Berisiko
pecat karyawan pln,Informasi Umum,Tidak Berisiko
Sumatera Selatan woyyyy gak disebut!,Percakapan Biasa,Tidak Berisiko
"kalau kau telat memperbaiki apakah ada kompensasi untuk mendapatkan ganti rugi untuk kami, giliran telat kami bayar langsung kau putuskan listrik kami,",Transaksi Aman,Tidak Berisiko
telat bayar listrik atau aplah itu kenak denda kami pak...smpek berjuteee,Transaksi Aman,Tidak Berisiko
18.35-09.30..,Percakapan Biasa,Tidak Berisiko
gamau maafin klo diulangin lagi😭 bapak plis aku takut gelap,Percakapan Biasa,Tidak Berisiko
"maaf ma te mu
alani ho Sega karetaku
dipake ngecas semalaman,",Percakapan Biasa,Tidak Berisiko
bayar ganti rugi potongan 50% bulan depan..enak aja,Transaksi Aman,Tidak Berisiko
Maaf doang setamn,Percakapan Biasa,Tidak Berisiko
"Ganti rugi dg pak , usaha kami gk jln😭😭😭 mna jarigan rusak lgi",Percakapan Biasa,Tidak Berisiko
"kalo masyrakat telat dikit bayar,,
boleh nggak??",Transaksi Aman,Tidak Berisiko
"Terima kasih Atas jelas penyampeanya, Kami Masyarakat Kecil Merasakan betapa besar Dampaknya Ketika Listrik Mati, Alhamdulillah Sekarang di daerah Kami sudah Hidup, Semoga Kita Lebih Bisa banyak Lagi bersyukur Dan Selalu bersabar Di setiap Kejadian Apapun",Informasi Umum,Tidak Berisiko
"[Stiker] izin bertanya pak, bisa jokiin akun ku ga pak tadi malam turun bintang sama kredir score ku pak gara gara mati lampu ni bujangg",Percakapan Biasa,Tidak Berisiko
pak sumbar mati lampu lagi tauuuu,Percakapan Biasa,Tidak Berisiko
apa pendapat pak prabowo mengenai blackout ini,Percakapan Biasa,Tidak Berisiko
ndak pernah pernahny....haaa kini pulak yang mcam iniii,Percakapan Biasa,Tidak Berisiko
yang herannya masa bisa serentak matinya lampu seluruh sumtara smp riau jambi😂,Percakapan Biasa,Tidak Berisiko
kluar/masuk lewat jalur mana pak??,Percakapan Biasa,Tidak Berisiko
"Jancuk! Gara2 Listrik mati, Burungku hidup truss....",Informasi Umum,Tidak Berisiko
pekanbaru dri jam 7 magrib smpai jam 5 subuhhh🤬😡,Jadwal & Kegiatan,Tidak Berisiko
"Sehat kapan sungai rumbai di Jambi,,,😂 sungai rumbai itu di sumbar ya Bapak dirut kami yg terhormat😁",Percakapan Biasa,Tidak Berisiko
klu mati mendadak kenapa perusahaan besar sudah dapat info akan ada pemadaman,Informasi Umum,Tidak Berisiko
riau 15 jm mati lmpu,Percakapan Biasa,Tidak Berisiko
"ganti rugi bs nga,kan kl nunggak byr denda",Percakapan Biasa,Tidak Berisiko
gk di maapkan sebelum idup lampunya,Percakapan Biasa,Tidak Berisiko
"klw gk di maaf kan ginma, ganti kompensasi lah. telat bayar kami denda.",Transaksi Aman,Tidak Berisiko
"[Stiker] ngomongnya cepetan dikit pak, keburu di angkat saber",Percakapan Biasa,Tidak Berisiko
@muhamad zakaria345,Percakapan Biasa,Tidak Berisiko
Kita telat bayar token gak bisa maaf,Transaksi Aman,Tidak Berisiko
gapapa om kami di tanjabtim khususnya di bagian plosok masih belum ada PLN soalnya jadi ga ngaruh😂,Informasi Umum,Tidak Berisiko
"terus ganti ruginya gimana , usaha orang bnyk rugi",Percakapan Biasa,Tidak Berisiko
"sebagian Medan-binjai sampai saat ini masih mati lampu,makanan di kulkaspun saya rasa sdh busuk..Ma'af sdh saatnya PLN ini ada pesaing , jadi ada perbaikan pelayanan,😳",Informasi Umum,Tidak Berisiko
"tolong yg kenak dampak diberi kompensasi, tagihan listrik di disc, saya sampai beli lampu emergency dengan harga mahal karna mendadak, setidaknya ada pemberitahuan dulu",Transaksi Aman,Tidak Berisiko
"maaf2 mulu,",Percakapan Biasa,Tidak Berisiko
ini sampe tengah hari belumm hidup loh,Percakapan Biasa,Tidak Berisiko
https://www.instagram.com/p/DYqnKc9neoX/?igsh=bHBtbWJlaXQyZmJ2,Percakapan Biasa,Tidak Berisiko
maaf doank? ga ada kompensasi?,Percakapan Biasa,Tidak Berisiko
mundurrrrr,Percakapan Biasa,Tidak Berisiko
kompensasi untuk konsumen apa???,Percakapan Biasa,Tidak Berisiko
"3 jam lebih listrik mati. jangan minta maaf aja pak, kompensasi nya apa?",Kata Kasar & Ancaman,Berisiko
"ntar kalok kami lambat bayar listrik tolong di maklumi ya pak, soalnya ada gangguan di dompet😂😂",Transaksi Aman,Tidak Berisiko
Pecat pecatt,Percakapan Biasa,Tidak Berisiko
"GK butuh penjelasan panjang lebar...
butuh nya hidup kan lampu Skrang....",Percakapan Biasa,Tidak Berisiko
Sampe skrg di medan tempat kami blm hidup jg ini sampe skrg🥺,Percakapan Biasa,Tidak Berisiko
maaf oh maaf,Percakapan Biasa,Tidak Berisiko
isss mati lagi😭,Percakapan Biasa,Tidak Berisiko
kapan normal pasti nya pak.......,Percakapan Biasa,Tidak Berisiko
memang gitu aja minta maaf sdh cukup,Percakapan Biasa,Tidak Berisiko
tmpt kami belum hidup juga pak 🥹,Percakapan Biasa,Tidak Berisiko
"permohonan aja nih, gak ada kompensasi 😏",Percakapan Biasa,Tidak Berisiko
Siang ni mati lampu lagi,Percakapan Biasa,Tidak Berisiko
iya pak aman aja kek sama siapa aja,Percakapan Biasa,Tidak Berisiko
"biasa nya itu pak nggak masalah kok, jaman saya kecil juga nggak ada listrik, yang ada hanya lampu taik hidung alias pelita minyak tanah😂😂",Informasi Umum,Tidak Berisiko
2 jam pulih apanya,Percakapan Biasa,Tidak Berisiko
"lama banget ngomongnya pak,
keburu diangkat saber",Percakapan Biasa,Tidak Berisiko
gnti rugi org ptani tambak udang..byak rugi org tmbak,Percakapan Biasa,Tidak Berisiko
taik ku blm di siram sampe skrg,Percakapan Biasa,Tidak Berisiko
Jangan lom hidup lampu tu pak,Percakapan Biasa,Tidak Berisiko
"giliran rakyat telat kalian arogan langsung main putus,,",Percakapan Biasa,Tidak Berisiko
"maaf doang,minimal gratisin voucer listrik dong selama sebulan",Informasi Umum,Tidak Berisiko
bayar denda lah kalian kpd penggunaa listrik terdampak..,Transaksi Aman,Tidak Berisiko
sebagian wilayah sumatera selatan gk disebut? gk minta maaf nih?,Percakapan Biasa,Tidak Berisiko
"cakap"" aja la pak.",Percakapan Biasa,Tidak Berisiko
dimaafkan pak gimana lagi.,Percakapan Biasa,Tidak Berisiko
kami sudah rugi karena dagangan sudah disiapkan tapi tidak bisa dijual.,Percakapan Biasa,Tidak Berisiko
giliran telat bayar 1 hari meteran lansung di cabut...,Transaksi Aman,Tidak Berisiko
gak apa2 bg yg penting uang masuk kalian banyak,Percakapan Biasa,Tidak Berisiko
Sumatra Selatan juga kena koncett,Percakapan Biasa,Tidak Berisiko
"jangan diulangi lagi paak,gelap tauuuu, saya mau mandi takut 🫣",Percakapan Biasa,Tidak Berisiko
"gara² pemadaman tanpa informasi,, sy smpe overthinking sama ayang beb,, knp Gk ad kabar 😂😂🤣😂😂 please om PLN jgn gini lgi y,,,,🤣",Informasi Umum,Tidak Berisiko
PEMADAM LISTRIK NEGARA,Informasi Umum,Tidak Berisiko
"begitu tau semalam listrik padam dan maksimal 16 jam baru hidup ,sedikit tenang dengan infonya tp sulit juga ngapa²in",Informasi Umum,Tidak Berisiko
"tiada maap bagi mu pak,semalam panas banget,bnyak nyamuk,anak rewel trus mpe pagi.mati lampu dari maghrib sampe pagi baru hidup.",Percakapan Biasa,Tidak Berisiko
"klau kami gk punya uang untuk bayar listrik, apa PLN bisa me maaf kan,,
me : maaf ya pak kami gk bisa byar listrik bulan ini,,, 😭
PLN : maaf juga pak / buk, untuk sementara kami putus jaringan ke rumah pak / buk yaaa 🤣🤣🤣",Transaksi Aman,Tidak Berisiko
gak bisa tidur semalam,Percakapan Biasa,Tidak Berisiko
ikan kami mati gegara mati lampu 5 jam🥲🥲,Percakapan Biasa,Tidak Berisiko
rantau Prapat sampai skrng Masi mati,Jadwal & Kegiatan,Tidak Berisiko
"[Stiker] Terimakasih pak,Berkat PLN kami di Pekanbaru merasakan tdur dengan sauna pak🙏🏻",Informasi Umum,Tidak Berisiko
"kita sama2 memaklumi pk....
kmi pembayaran listrik minta di discount
tolooong di dengar ....jgn maaf bpk aja yg kmi terima",Transaksi Aman,Tidak Berisiko
Di medan dari jam 18:00 - 10:00 😭,Jadwal & Kegiatan,Tidak Berisiko
Di Binjai dari Maghrib sampai sekarang blm hidup,Percakapan Biasa,Tidak Berisiko
"cepat, medan masih mati.",Percakapan Biasa,Tidak Berisiko
"2 jam mu itu pak2
Medan Helvetia 5jam😩",Percakapan Biasa,Tidak Berisiko
keren sih ini,Percakapan Biasa,Tidak Berisiko
"14 jam padam listrik Riau Inhu, belilas",Informasi Umum,Tidak Berisiko
"sepertinya ngak masuk akal kalau sistem kelistrikannya sambung menyambung 1 sumatera, apakah ada permainan ? atau memang indonesia sudah krisis bbm ?",Percakapan Biasa,Tidak Berisiko
minta maaf gampang sdh terjadi lalu minta maaf... yg masyarakat mau tu PLN jgn ulangi lg...,Informasi Umum,Tidak Berisiko
"pakk, kalo meeting gini kah ngomong nya ?? lama kalii sampek speed 2x",Jadwal & Kegiatan,Tidak Berisiko
trima kasih sudah diperbaiki dgn cepat👍,Percakapan Biasa,Tidak Berisiko
sampe sekarang ini blm hidup,Percakapan Biasa,Tidak Berisiko
gak cukup dgn minta maaf aja kawan. PLN mesti nya bayar komplen kpd Masyarakat yg terkena dampak dari padam nya Listrik,Transaksi Aman,Tidak Berisiko
kok bisa semutra kena. riau kan punya PLTA yg salah satu terbesar di Asia Tenggara. kemena pergi listriknya.. diurut semutra harus bertanggung dan harus mundur..,Percakapan Biasa,Tidak Berisiko
"gak cukup dgan maaf,
aku ga tidur2 semalaman karna anakku kukipasss sampe pagi kerna kepanasannnnnn",Percakapan Biasa,Tidak Berisiko
yang lagi di malaysia✊😂,Percakapan Biasa,Tidak Berisiko
